,year,incident,containment,start_date,end_date,cdf_burned,other_burned,total_burned,struct_dest,struct_dam,death_fire,death_civil
241,2003,BTU-006701,NA,6/24/03,6/24/03,NA,368,368,0,0,0,0
242,2003,TUU-6501,NA,6/26/03,6/27/03,329,NA,329,NA,NA,NA,NA
243,2003,RRU-48718,NA,6/26/03,7/1/03,NA,536,536,9,1,NA,NA
244,2003,TUU-6588,NA,6/28/03,6/29/03,NA,565,565,0,0,0,0
245,2003,TUU-76655,NA,6/29/03,6/29/03,NA,1155,NA,2,0,0,0
246,2003,LNU-04073,NA,6/29/03,6/29/03,400,NA,400,0,0,0,0
247,2003,HUU-2762,NA,6/29/03,6/30/03,NA,389,389,0,0,0,0
248,2003,MMU-01108,NA,6/30/03,6/30/03,1000,NA,NA,0,0,0,0
249,2003,LNU-004146,NA,7/1/03,7/1/03,300,NA,300,0,0,0,0
250,2003,BEU-002235,NA,7/2/03,7/2/03,NA,360,360,0,0,0,0
251,2003,BEU-002241,NA,7/2/03,7/2/03,500,NA,500,0,0,0,0
252,2003,LMU-001784,NA,7/2/03,7/2/03,1100,NA,NA,12,0,0,0
253,2003,RRU-050488,NA,7/3/03,7/3/03,855,NA,855,0,0,0,0
254,2003,MMU-00112,NA,7/3/03,7/4/03,641,NA,641,0,0,0,0
255,2003,RRU-50865,NA,7/4/03,7/4/03,1700,NA,NA,0,0,0,0
256,2003,TUU-7195,NA,7/7/03,7/7/03,NA,747,747,0,0,0,0
257,2003,MMU-11727,NA,7/8/03,7/10/03,360,NA,360,0,0,0,0
258,2003,TUU-007233,NA,7/8/03,7/7/03,699,NA,699,0,0,0,0
259,2003,MMU-11745,NA,7/8/03,7/11/03,NA,458,458,0,0,0,0
260,2003,TCU-4908,NA,7/12/03,7/12/03,396,NA,396,0,0,0,0
261,2003,TUU-7429,NA,7/12/03,7/12/03,320,NA,320,0,0,0,0
262,2003,TCU-004924,NA,7/13/03,7/13/03,420,NA,420,0,0,0,0
263,2003,TUU-7593,NA,7/15/03,7/16/03,NA,835,835,0,0,0,0
264,2003,MVU-5044,NA,7/16/03,7/26/03,18705,NA,NA,2,0,0,0
265,2003,MMU-12479,NA,7/18/03,7/18/03,NA,500,500,0,0,0,0
266,2003,YNP-002085,NA,7/20/03,10/2/03,NA,9815,NA,0,0,0,0
267,2003,TUU-7804,NA,7/20/03,7/20/03,NA,1830,NA,0,0,0,0
268,2003,LMU_2117,NA,7/20/03,7/21/03,NA,375,375,0,0,0,0
269,2003,SCU-2846,NA,7/20/03,7/22/03,5170,NA,NA,0,4,0,0
270,2003,SLU-5133,NA,7/20/03,7/22/03,1200,NA,NA,18,0,0,0
271,2003,NEU-10647,NA,7/20/03,7/23/03,NA,5693,NA,0,0,0,0
272,2003,TCU-417,NA,7/20/03,10/3/03,NA,3747,NA,0,0,0,0
273,2003,LMU-2135,NA,7/21/03,7/25/03,NA,8010,NA,0,0,0,0
274,2003,RRU-56005,NA,7/22/03,7/22/03,NA,2020,NA,0,0,0,0
275,2003,LMU-2170,NA,7/22/03,7/22/03,NA,950,950,0,0,0,0
276,2003,TUU-7957,NA,7/23/03,7/25/03,NA,1002,NA,1,0,0,0
277,2003,MMU-13006,NA,7/25/03,7/25/03,NA,300,300,0,0,0,0
278,2003,RRU-056869,NA,7/25/03,7/27/03,4336,NA,NA,1,0,0,0
279,2003,TUU-8510,NA,7/30/03,8/3/03,NA,509,509,0,0,0,0
280,2003,LMU-2449,NA,7/31/03,8/1/03,NA,1330,NA,2,0,0,0
281,2003,SQF-002423,NA,7/31/03,8/27/03,NA,1928,NA,0,0,0,0
282,2003,SCU-3140,NA,8/4/03,8/4/03,2000,NA,NA,0,0,0,0
283,2003,SLU-5785,NA,8/10/03,8/11/03,1500,NA,NA,0,0,0,0
284,2003,RRU-63401,NA,8/18/03,8/20/03,1898,NA,NA,1,2,0,0
285,2003,RRU-063409,NA,8/18/03,8/18/03,NA,300,300,0,0,0,0
286,2003,SCU-003460,NA,8/20/03,8/20/03,NA,500,500,0,0,0,0
287,2003,BDU-8826,NA,8/23/03,8/24/03,NA,300,300,0,0,0,0
288,2003,SCU-003581,NA,8/25/03,9/2/03,30170,NA,NA,0,0,0,0
289,2003,SCU-003566,NA,8/26/03,8/26/03,300,NA,300,0,0,0,0
290,2003,MMU-15304,NA,8/26/03,8/26/03,640,NA,640,0,0,0,0
291,2003,TCU-006447,NA,8/26/03,8/26/03,800,NA,800,0,0,0,0
292,2003,TUU-009571,NA,8/27/03,8/27/03,NA,320,320,0,0,0,0
293,2003,NEU-13290,NA,9/1/03,9/1/03,NA,830,830,0,0,0,0
294,2003,BDU-10212,NA,9/2/03,9/2/03,NA,2515,NA,0,0,0,0
295,2003,TGU-5497,NA,9/3/03,9/3/03,NA,8019,NA,0,0,0,0
296,2003,HUU-004435,NA,9/3/03,9/3/03,13846,NA,NA,0,0,0,0
297,2003,HUU-004501,NA,9/3/03,10/15/03,24882,NA,NA,0,2,0,0
298,2003,LNU-6644,NA,9/3/03,9/4/03,390,NA,390,0,0,0,0
299,2003,LNU-6629,NA,9/3/03,9/3/03,1400,NA,NA,0,0,0,0
300,2003,LNU-7125,NA,9/3/03,9/10/03,NA,3500,NA,0,0,0,0
301,2003,TGU-5488,NA,9/4/03,NA,NA,400,NA,0,0,0,NA
302,2003,SHU-9940,NA,9/14/03,9/22/03,NA,3074,NA,0,0,0,0
303,2003,TUU-10986,NA,9/27/03,10/19/03,NA,1298,NA,0,0,0,0
304,2003,TGU-6202,NA,9/28/03,10/2/03,NA,6050,NA,0,0,0,0
305,2003,BDU-10299,NA,9/28/03,9/29/03,300,0,300,0,0,0,0
306,2003,BDU-10456,NA,10/1/03,10/1/03,NA,903,903,0,0,0,0
